accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.21, 0.899, 0.601, -6.763, 7.595, -4.771
-0.343, 0.894, 0.643, 19.0, -18.412, 14.718
-0.284, 0.888, 0.62, 15.29, -13.328, 13.588
0.25, 0.924, 0.593, 13.565, -7.802, -3.634
0.212, 0.939, 0.526, 17.702, 1.496, -4.763
-0.063, 0.877, 0.737, 8.962, 26.489, -10.832
-0.134, 0.864, 0.769, -0.122, 33.611, -14.038
0.156, 0.958, 0.491, -5.374, 14.672, -1.076
0.097, 0.965, 0.609, -2.237, 19.244, -2.351
0.055, 0.959, 0.629, 3.595, 15.611, -4.87
-0.136, 0.963, 0.339, 7.771, 10.649, -16.153
0.129, 0.949, 0.572, 13.328, 2.344, -4.977
-0.027, 0.953, 0.457, -14.557, 36.221, -9.015
-0.048, 0.979, 0.51, 4.916, 33.511, 1.695
-0.141, 0.824, 0.808, -8.206, -1.16, 9.863
-0.111, 0.78, 0.911, -4.718, 17.198, 7.74
-0.097, 0.955, 0.714, 29.557, 0.344, 3.84
-0.123, 0.914, 0.572, 1.863, 16.0, -3.229
-0.185, 0.927, 0.776, -7.489, 11.031, 2.641
-0.106, 0.73, 1.048, 8.237, -4.702, -14.962
-0.112, 0.677, 0.982, -24.565, 23.855, -14.969
-0.26, 0.08, 1.254, -7.55, 18.992, -11.511
-0.238, 0.069, 1.23, 1.802, 15.282, -9.008
-0.314, 0.241, 1.216, -8.672, 17.427, -5.374
-0.324, 0.207, 1.229, -0.878, 10.458, -4.16
-0.231, 0.146, 1.377, 15.519, -18.779, 2.122
-0.144, 0.158, 1.307, -14.748, 31.863, -11.664
-0.17, 0.142, 1.29, -14.305, 28.695, -12.176
-0.329, -0.264, 1.223, 12.947, -5.84, 1.794
-0.324, -0.245, 1.269, 20.603, -12.061, 2.176
0.283, 0.462, 1.179, 10.573, -2.855, -7.374
0.241, 0.5, 1.19, 15.313, 12.725, -5.649
-0.547, 0.221, 1.101, 10.519, -8.496, -1.359
-0.551, 0.187, 1.244, 6.115, 4.618, -8.924
-0.499, 0.178, 1.065, 5.137, 29.0, -6.351
-0.336, 0.281, 1.202, 10.794, 0.611, -0.336
-0.462, 0.332, 1.121, 9.183, 5.313, -0.641
-0.466, 0.33, 1.133, 8.634, 2.824, 1.87
-0.424, 0.335, 1.145, 7.992, 9.038, -3.779
-0.447, 0.323, 1.108, 7.687, 4.863, -3.053
-0.432, 0.301, 1.158, 5.321, 7.115, -3.023
-0.459, 0.309, 1.105, 8.71, -0.489, 1.679
-0.418, 0.3, 1.145, 9.092, 8.573, 0.16
-0.465, 0.306, 1.143, 9.29, 0.84, 0.71
-0.447, 0.315, 1.126, 9.099, 4.328, 0.366
-0.456, 0.303, 1.152, 9.359, 7.519, -1.344
-0.441, 0.306, 1.147, 9.176, 5.008, 0.649
-0.443, 0.3, 1.143, 9.244, 7.496, -1.092
-0.434, 0.305, 1.129, 9.443, 4.611, -0.664
-0.445, 0.318, 1.137, 8.573, 5.618, -3.122
-0.436, 0.312, 1.134, 8.931, 5.588, -0.672
-0.448, 0.306, 1.129, 8.84, 6.092, -0.924
-0.44, 0.31, 1.119, 9.229, 7.13, -1.023
-0.453, 0.301, 1.146, 9.237, 6.42, -1.084
-0.447, 0.312, 1.126, 8.992, 3.603, -1.076
-0.444, 0.309, 1.144, 9.221, 3.954, -1.122
