accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.26, 0.004, 1.531, 46.107, 60.359, 35.809
-0.306, 0.115, 1.217, -49.832, -7.427, -37.191
-0.458, -0.127, 1.579, -29.901, -7.092, 24.672
-0.458, 0.316, 0.972, 74.985, 28.664, -10.069
-0.511, 0.317, 0.839, 71.168, 51.13, 3.298
-0.4, 0.283, 0.871, -1.702, -17.16, -1.802
-0.456, -0.006, 1.773, -56.794, -11.191, -6.542
-0.231, 0.245, 1.324, -54.618, -57.13, 17.168
-0.168, 0.372, 0.969, -24.702, 22.153, -34.412
-0.192, 0.25, 1.233, 57.13, 19.542, -12.473
-0.564, -0.072, 1.519, 34.695, 31.176, 3.542
-0.138, 0.227, 1.206, 71.435, 43.153, -19.107
-0.349, 0.284, 1.349, -60.244, -54.786, 4.13
0.26, 0.367, 1.64, -10.107, 8.206, 13.992
0.27, 0.162, 1.615, 1.893, 7.725, 11.282
0.165, 0.278, 1.449, 5.221, -10.687, 15.046
0.063, 0.179, 1.383, -24.733, -22.237, 15.885
-0.02, 0.019, 1.071, 14.924, 4.344, -11.45
-0.035, 0.051, 1.101, 23.718, 31.931, -30.137
-0.154, -0.1, 1.097, 41.122, 77.786, -28.802
-0.239, -0.229, 1.308, 43.885, 27.267, 7.794
0.024, 0.082, 1.428, -25.015, -45.824, 23.435
0.156, 0.08, 1.155, 15.244, 8.366, 16.221
-0.144, 0.062, 1.16, 23.74, 27.336, -27.565
-0.279, -0.035, 1.204, 40.359, 24.122, -2.702
-0.226, 0.016, 1.319, 14.786, 12.74, 25.641
-0.096, 0.118, 1.428, 14.038, 1.206, 16.893
-0.406, 0.303, 1.178, 40.015, 11.107, -7.748
-0.407, 0.194, 1.01, 35.939, 18.718, 21.832
-0.381, 0.051, 1.055, 6.45, 47.84, -18.427
-0.435, 0.082, 1.187, 2.611, 38.779, 45.992
-0.421, -0.229, 1.37, 80.16, 2.977, 8.053
-0.86, 0.808, 0.249, -16.473, 23.557, 23.748
-0.701, 0.875, 0.29, -16.695, 26.466, -18.725
-0.596, 0.57, 0.157, -9.16, -1.412, 9.023
-0.676, 0.696, 0.309, -14.756, 18.511, 10.542
-0.646, 0.628, 0.323, -18.672, 27.626, 8.855
-0.503, 0.661, 0.408, 34.885, -0.336, 6.649
-0.569, 0.632, 0.25, 40.397, -12.74, -6.099
-0.609, 0.553, 0.163, 22.229, 2.015, -7.427
-0.485, 0.591, 0.157, -14.405, 25.519, 9.992
-0.551, 0.641, 0.423, 24.794, -8.221, 2.664
-0.497, 0.579, 0.038, 29.099, -22.244, -2.397
-0.728, 0.556, -0.131, 55.939, -6.466, -6.885
-0.536, 0.444, 0.12, -14.992, 36.641, -20.672
-0.603, 0.54, 0.422, 20.534, -85.511, 0.473
-0.342, 0.863, 0.603, 8.779, 0.687, 34.878
-0.09, 1.091, 0.401, 0.313, 34.908, 3.855
0.085, 0.802, 0.354, 15.397, 35.84, 1.473
0.052, 0.754, 0.474, -17.863, -30.344, 2.275
-0.069, 1.173, 0.336, 16.321, -16.847, -6.687
0.023, 0.804, 0.5, 25.275, 32.794, 0.099
0.148, 0.856, 0.488, 19.863, 17.359, 6.198
-0.175, 1.036, 0.613, 2.84, 38.977, 1.359
-0.155, 0.828, 0.565, 1.359, 38.817, 3.115
-0.073, 0.842, 0.56, -12.947, 20.679, 23.466
-0.339, 0.917, 0.886, 24.0, -40.748, -8.863
-0.188, 0.709, 0.648, -5.435, 36.618, 19.336
-0.108, 0.814, 0.613, 22.603, 32.038, 4.267
0.08, 0.888, 0.671, 2.282, 38.901, 4.519
-0.208, 0.894, 0.682, 18.183, 41.122, 2.832
-0.213, 0.874, 0.59, 2.046, -37.405, 4.519
-0.25, 1.08, 0.633, -7.053, 31.664, 22.176
-0.097, 0.871, 0.47, 0.962, 34.634, 21.061
-0.001, 0.999, 0.57, 9.885, 32.267, 22.061
-0.351, 0.86, 0.522, -2.664, 14.458, 19.29
-0.245, 0.997, 0.402, -20.115, 28.641, 9.908
-0.125, 0.85, 0.575, 7.878, -13.802, -3.634
-0.26, 0.831, 0.657, 17.382, -18.176, -20.458
-0.024, 0.918, 0.46, 1.771, 32.985, 17.137
-0.001, 0.853, 0.484, 2.176, -17.878, -8.916
-0.043, 1.146, 0.377, 14.718, 39.84, -13.267
0.037, 0.875, 0.353, 34.603, 30.221, -12.458
-0.097, 0.777, 0.533, 7.473, -18.244, -18.122
-0.109, 0.76, 0.444, -1.809, 45.878, 8.0
-0.008, 0.886, 0.554, -6.794, 36.145, 17.0
-0.123, 0.724, 0.609, 8.794, -19.191, -24.099
-0.166, 0.744, 0.716, -5.267, -17.298, -8.313
-0.109, 1.048, 0.549, -4.931, -21.16, -2.748
-0.03, 1.106, 0.686, -6.718, 31.565, 16.168
-0.077, 1.022, 0.6, 0.802, -6.473, 7.168
-0.107, 1.027, 0.554, 15.267, -23.626, -6.832
-0.321, 0.734, 0.841, 6.359, -15.962, -20.115
-0.132, 0.694, 0.699, -3.198, 15.664, -3.107
-0.09, 1.018, 0.649, 7.687, -0.977, -1.947
-0.171, 0.865, 0.604, 29.328, -35.0, -27.153
-0.125, 0.772, 0.701, 6.389, -40.351, -32.382
-0.105, 0.901, 0.705, -17.702, 30.924, -15.267
