accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-2.0, 1.256, 1.371, -134.489, 83.618, -250.137
-2.0, 0.548, 1.503, -154.084, 81.137, -250.137
1.084, 1.894, 0.512, -183.015, 201.718, -250.137
-2.0, 1.492, 1.322, 250.13, 86.962, 235.084
-1.084, 0.068, 1.863, -250.137, 189.84, -227.023
-1.429, 0.877, 1.04, -177.061, 72.519, -250.137
-2.0, 1.871, 1.325, 250.13, -56.038, 250.13
-1.578, 0.169, 1.14, 158.863, -42.901, 110.069
-2.0, -2.0, 0.99, -7.992, -44.466, 72.786
1.547, 1.125, 0.325, 118.573, -28.183, 184.664
-0.731, 0.127, -0.519, -250.137, 12.519, -213.733
0.054, 0.271, -0.742, 161.305, 176.107, 96.809
-0.419, 0.582, 0.794, 250.13, 173.611, 144.725
-1.613, 1.264, 1.123, 250.13, 70.008, 250.13
-2.0, 0.256, 1.028, 54.214, -52.763, 250.13
-2.0, -0.476, -1.323, -211.489, -212.977, 100.718
-0.709, 0.855, 0.625, -182.481, -165.466, -250.137
0.549, 0.709, -0.505, -47.313, -49.534, -108.924
0.105, 0.199, 0.613, 250.13, -250.137, 54.298
-0.108, -0.234, -1.379, 221.137, -21.084, -123.405
-1.694, 1.465, 1.667, -250.137, -3.931, -246.336
-1.198, 1.469, 1.213, -250.137, -186.145, -250.137
-0.552, 0.359, 0.649, 250.13, 177.603, 246.603
-0.107, 0.136, -1.155, -161.458, -181.702, -91.397
-1.322, 0.538, 1.514, 209.679, 163.672, 202.779
-0.679, 0.94, 0.502, 238.947, 89.359, 250.13
0.533, 0.722, -0.208, 228.863, -40.16, 250.13
-1.824, 0.696, 2.0, 228.901, 38.481, 198.458
-1.464, 0.95, 2.0, 250.13, 81.58, 250.13
-0.472, 0.633, -0.223, -250.137, -131.733, -79.489
-0.352, 1.004, -0.012, 250.13, 250.13, 176.023
0.686, 0.7, 2.0, -50.809, -85.359, -232.221
-0.165, 0.452, -0.592, -250.137, -150.74, -57.55
-1.016, 0.925, 0.766, 250.13, 250.13, 54.061
-1.769, 0.795, 2.0, -250.137, -250.137, 250.13
-1.486, -0.191, 0.352, 250.13, 204.16, -133.397
 0.828, 0.814, 1.166, -38.282, 19.008, -250.137
-0.498, 1.371, 0.683, -111.328, 29.198, 250.13
-1.258, 1.337, 2.0, -232.427, -250.137, -172.855
-1.759, 0.756, -0.842, 250.13, 250.13, -87.84
-0.429, 0.706, -0.618, 250.13, 250.13, 145.924
-1.178, 2.0, 1.932, 250.13, 171.87, -59.45
-1.087, -0.329, 2.0, 93.908, 195.595, 124.405
-0.433, 1.295, 1.93, -250.137, -194.656, 125.725
-0.63, 1.11, 0.498, -250.137, -222.359, -126.893
0.162, 1.301, -0.104, -250.137, -198.412, -239.542
-0.031, 0.955, -0.82, -250.137, -44.183, -243.382
-1.074, 1.191, 2.0, -189.969, -250.137, -96.519
-1.049, 1.511, 1.729, -250.137, -250.137, 52.366
-1.062, 0.484, 0.725, -250.137, -143.252, 69.641
-1.912, 0.763, 0.942, 144.618, 57.336, 250.13
-1.821, 0.423, 0.984, 163.336, -58.26, 209.763
-1.785, 0.303, 0.879, 105.87, 7.794, 184.519
-0.31, 0.823, 1.174, -62.557, 83.855, -132.489
-0.417, 0.268, 1.747, -40.71, -22.122, -89.137
-0.151, 0.406, 1.111, 125.435, -26.0, -74.321
-2.0, 1.11, 2.0, 250.13, 62.756, -79.053
-0.326, 0.496, 2.0, 216.45, 70.901, -82.038
-1.337, 0.736, 1.489, 250.13, 136.817, 229.656
-0.598, 0.641, -0.472, 49.947, 151.924, -137.901
-1.213, 1.383, 0.083, 250.13, 250.13, 127.069
-2.0, 0.899, 1.143, 194.847, -89.374, 250.13
-1.532, 1.438, 2.0, 138.847, 250.13, -77.748
-1.647, 0.468, -0.332, 163.366, 105.221, -250.137
-0.446, 0.068, 0.194, 53.756, 51.718, 250.13
-1.132, 0.576, 0.628, -250.137, -250.137, -59.695
-0.53, 0.958, 0.491, 49.924, 99.985, 250.13
-0.255, 0.253, -1.989, -198.588, -177.779, -66.588
-2.0, 0.07, 0.345, -97.595, -19.779, -250.137
1.94, 2.0, 1.859, -144.107, -122.405, 162.885
-1.128, 1.131, 1.062, -250.137, -235.908, -110.771
0.314, 2.0, -1.717, 250.13, 153.084, 174.573
-0.141, 2.0, -1.008, -250.137, -244.145, -235.313
-2.0, 2.0, 2.0, 250.13, 250.13, 250.13
-1.186, 1.965, 1.009, -250.137, -192.489, -250.137
2.0, -0.514, 1.578, -106.969, 75.328, 250.13
1.744, -0.299, 1.031, -144.412, 103.145, 194.023
0.14, -0.635, 0.361, -140.45, 62.763, 250.13
1.664, -0.331, 1.186, 149.076, 180.038, -250.137
1.143, 0.443, 0.753, 10.534, 12.71, 61.405
1.243, 0.973, 1.596, -210.145, -41.534, 242.069
1.319, 0.295, 1.408, 250.13, 250.13, -76.153
1.31, 0.254, -0.229, -146.466, -86.565, -221.29
0.598, -0.169, 1.366, -206.153, -31.649, -159.069
1.303, 0.477, 0.72, -72.321, 83.321, 242.076
0.03, -0.096, 0.357, -67.977, 118.916, 111.008
-0.194, 0.082, 1.653, 183.405, 250.13, -250.137
1.303, 0.408, 1.095, -250.137, 223.809, -250.137
1.481, 0.453, 0.88, -82.542, 58.71, 226.969
0.511, 0.196, 0.269, -41.702, 96.321, 217.901
1.2, 0.232, 1.617, -159.687, 250.13, -250.137
1.424, 0.221, 0.848, -250.137, 214.687, -193.542
1.286, 0.516, 0.705, -113.611, 76.771, 242.603
0.466, 0.189, 0.481, -73.336, 35.435, 250.13
0.026, -0.3, 0.1, -92.0, 67.206, 179.29
0.117, -0.338, 0.754, -160.168, 250.13, 88.115
1.042, -0.108, 0.8, 89.855, -0.115, -76.702
0.099, -0.119, 1.169, 124.458, -250.137, 179.298
1.124, 0.558, 1.158, -76.588, 29.969, 149.321
1.021, -0.208, 1.257, 22.13, 230.504, -52.611
1.37, -0.225, 1.726, -202.504, 4.641, 179.962
0.251, -0.067, 0.382, 117.534, 250.13, -139.695
-0.005, -0.526, 0.258, 141.542, 68.183, -101.992
1.365, 0.48, 1.171, 250.13, 87.649, -250.137
0.986, -0.02, 1.107, 53.405, 129.595, -55.695
0.556, -0.157, 1.384, -102.183, -101.443, -53.634
0.173, -0.046, -0.028, -41.618, -46.183, 2.443
1.364, 0.388, 2.0, 250.13, 186.595, -115.252
1.255, -0.337, 1.51, -219.031, -182.786, -103.031
2.0, -0.262, 1.476, 208.969, 112.55, -250.137
1.006, -0.855, 0.886, -143.252, -13.344, 212.626
1.747, -0.547, 1.402, -125.221, 57.626, 208.45
0.876, -0.745, 0.983, -67.336, 39.282, 122.87
1.529, -0.73, 1.325, 188.267, -36.237, -196.603
1.299, -0.823, 1.376, -130.046, 68.122, 159.87
0.866, -1.012, 1.11, 91.534, -60.947, -180.435
-0.018, -0.607, -0.041, -208.107, 28.588, -249.588
-0.859, -0.678, 0.835, -250.137, 158.176, -250.137
-1.593, -0.761, 1.859, -250.137, 167.832, -250.137
-1.895, -1.16, 2.0, -250.137, 250.13, -151.168
-2.0, 0.428, 1.157, -250.137, -250.137, -250.137
-1.206, -0.286, 0.14, 75.519, -250.137, -216.679
-1.612, -0.445, -0.343, 250.13, -250.137, -244.053
-2.0, -0.279, -0.766, 128.672, -250.137, -250.137
-2.0, 0.135, 1.845, -250.137, -28.794, -250.137
-2.0, 0.621, 0.068, -250.137, -250.137, -207.779
-2.0, -0.16, 1.301, -66.87, 23.664, -119.969
0.115, 0.187, 0.441, 57.092, 4.389, 230.588
-0.164, -0.018, 0.51, 250.13, -126.634, -81.137
-1.223, -0.969, 2.0, -231.305, 250.13, -54.198
0.037, -0.279, 0.406, 250.13, 98.832, 110.519
-1.136, -0.485, 0.5, -108.466, -135.977, -250.137
-1.358, -0.235, 0.226, 250.13, -250.137, -250.137
-1.286, -0.449, 0.153, 214.725, -250.137, -250.137
-2.0, -0.586, 0.05, 250.13, -250.137, -250.137
-1.052, -1.701, 1.744, -250.137, 250.13, 156.863
-1.196, -0.714, 1.977, 168.893, -181.931, 106.221
-1.527, -0.035, 1.616, 250.13, -41.756, 250.13
-1.982, 0.805, 1.698, 58.74, -25.618, 133.74
-1.194, -0.945, 2.0, 250.13, -104.267, 61.313
-2.0, 0.126, 1.87, -54.038, -232.985, 217.26
-1.263, -0.514, 2.0, 250.13, -24.061, 56.779
-2.0, -0.436, 1.57, -176.366, -250.137, 250.13
-2.0, 0.311, -0.198, -109.527, -250.137, -103.366
-1.873, 0.522, 0.534, -70.809, -34.366, 108.137
-1.572, -0.292, -0.872, -133.214, -162.107, 85.466
-2.0, 0.567, -0.402, -64.084, -6.023, 136.038
-2.0, 0.535, 1.028, -2.305, 14.588, 162.885
0.613, -2.0, 1.959, 111.321, -136.198, -250.137
-1.297, -0.336, 2.0, 250.13, -15.817, 146.237
-1.181, -0.036, 1.736, 137.069, -163.74, 250.13
